IsChecked;Фраза;Источник;Дата добавления;Частотность [WS];Частотность * * [WS];Частотность *!* [WS];Сезонность [WS];Корректность словоформы [SG];Частотность (первая) [RA];Частотность (все) [RA];Конкуренция в ПС Яндекс [KEI];Конкуренция в ПС Google [KEI];Кол-во главных страниц в ПС Яндекс [KEI];Кол-во главных страниц в ПС Google [KEI];Кол-во вхождений в заголовок в ПС Яндекс [KEI];Кол-во вхождений в заголовок в ПС Google [KEI];Рел. страница в ПС Яндекс;Рел. страница в ПС Google;Позиция в ПС Яндекс;Страница в ПС Яндекс;Позиция в ПС Google;Страница в ПС Google
False;визитки в минске;YandexWordstatLeftColumn;27.08.2017 16:00;550;;;;;;;;;;;;;;;;;;
False;печать визиток минск;YandexWordstatLeftColumn;27.08.2017 16:00;162;;;;;;;;;;;;;;;;;;
False;визитки минск дешево;YandexWordstatLeftColumn;27.08.2017 16:00;131;;;;;;;;;;;;;;;;;;
False;заказать визитки минск;YandexWordstatLeftColumn;27.08.2017 16:00;88;;;;;;;;;;;;;;;;;;
False;визитка онлайн минск;YandexWordstatLeftColumn;27.08.2017 16:00;84;;;;;;;;;;;;;;;;;;
False;изготовление визиток в минске;YandexWordstatLeftColumn;27.08.2017 16:00;66;;;;;;;;;;;;;;;;;;
False;визитки минск цены;YandexWordstatLeftColumn;27.08.2017 16:00;66;;;;;;;;;;;;;;;;;;
False;сделать визитки минск;YandexWordstatLeftColumn;27.08.2017 16:00;63;;;;;;;;;;;;;;;;;;
False;купить визитки минск;YandexWordstatLeftColumn;27.08.2017 16:00;33;;;;;;;;;;;;;;;;;;
False;сделать визитки в минске цены;YandexWordstatLeftColumn;27.08.2017 16:00;28;;;;;;;;;;;;;;;;;;
False;заказать визитки в минске дешево;YandexWordstatLeftColumn;27.08.2017 16:00;23;;;;;;;;;;;;;;;;;;
False;визитки срочно минск;YandexWordstatLeftColumn;27.08.2017 16:00;23;;;;;;;;;;;;;;;;;;
False;визитки недорого в минске;YandexWordstatLeftColumn;27.08.2017 16:00;21;;;;;;;;;;;;;;;;;;
False;сайт визитка минск;YandexWordstatLeftColumn;27.08.2017 16:00;19;;;;;;;;;;;;;;;;;;
False;печать визиток минск дешево;YandexWordstatLeftColumn;27.08.2017 16:00;18;;;;;;;;;;;;;;;;;;
False;1000 визиток минск;YandexWordstatLeftColumn;27.08.2017 16:00;16;;;;;;;;;;;;;;;;;;
False;дизайн визитки минск;YandexWordstatLeftColumn;27.08.2017 16:00;15;;;;;;;;;;;;;;;;;;
False;напечатать визитки в минске;YandexWordstatLeftColumn;27.08.2017 16:00;13;;;;;;;;;;;;;;;;;;
False;заказать визитки в минске недорого;YandexWordstatLeftColumn;27.08.2017 16:00;11;;;;;;;;;;;;;;;;;;
False;заказать визитки в минске дешево цены;YandexWordstatLeftColumn;27.08.2017 16:00;10;;;;;;;;;;;;;;;;;;
False;визитки 1000 штук минск;YandexWordstatLeftColumn;27.08.2017 16:00;6;;;;;;;;;;;;;;;;;;
False;распечатать визитки в минске дешево;YandexWordstatLeftColumn;27.08.2017 16:00;5;;;;;;;;;;;;;;;;;;
False;визитки в минске 1000 шт;YandexWordstatLeftColumn;27.08.2017 16:00;4;;;;;;;;;;;;;;;;;;
False;сайт визитка цена минск;YandexWordstatLeftColumn;27.08.2017 16:00;3;;;;;;;;;;;;;;;;;;
False;визитки в минске 1000 шт дешево;YandexWordstatLeftColumn;27.08.2017 16:00;2;;;;;;;;;;;;;;;;;;
